ski,0.977703291,0.278281753,0.05174216,0.00402347,1.66E-05,skis
scull,1.007022082,0.286626702,0.053293773,0.004144124,1.71E-05,skull
slipper,1.931739945,0.549827317,0.10223183,0.007949547,3.27E-05,slippers
snail,0.700570282,0.199401933,0.037075685,0.002883005,1.19E-05,
snake,0.820518039,0.233542426,0.043423578,0.003376617,1.39E-05,
sock,0.6554092,0.186547823,0.034685664,0.002697157,1.11E-05,
spider,0.893394223,0.254285029,0.047280343,0.003676519,1.51E-05,
spoon,1.055886337,0.300534838,0.055879774,0.004345211,1.79E-05,
squirrel,2.367311316,0.673803134,0.125283203,0.009742022,4.01E-05,
star,1.064703961,0.303044581,0.056346422,0.004381498,1.80E-05,
stethoscope,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
suit,0.785649223,0.223617783,0.041578246,0.003233124,1.33E-05,
son,0.613003401,0.174477945,0.032441458,0.002522648,1.04E-05,sun
table,1.139521765,0.324339825,0.060305941,0.00468939,1.93E-05,
tent,0.749316092,0.213276356,0.039655418,0.003083605,1.27E-05,
thermometer,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
toilet,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
top,0.838949883,0.238788645,0.044399031,0.003452469,1.42E-05,
towel,1.191749923,0.339205422,0.063069967,0.004904321,2.02E-05,
tractor,1.29415725,0.368353417,0.068489583,0.00532575,2.19E-05,
train,0.808426265,0.230100768,0.042783656,0.003326857,1.37E-05,
tree,0.798937968,0.227400132,0.042281514,0.003287811,1.35E-05,
turkey,2.01272851,0.572878932,0.106517919,0.008282833,3.41E-05,
van,0.593349046,0.168883765,0.031401307,0.002441766,1.00E-05,
vase,0.696141414,0.198141353,0.0368413,0.002864779,1.18E-05,
vest,0.87346907,0.248613773,0.046225861,0.003594523,1.48E-05,
volcano,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
wagon,0.36905625,0.10504375,0.01953125,0.00151875,6.25E-06,
well,0.757905169,0.215721048,0.040109971,0.003118951,1.28E-05,
whistle,2.057247381,0.58555025,0.108873953,0.008466039,3.48E-05,
wig,0.722830677,0.205737865,0.038253753,0.002974612,1.22E-05,
window,2.057218518,0.585542035,0.108872426,0.00846592,3.48E-05,
zebra,5.9049,1.6807,0.3125,0.0243,1.00E-04,
zipper,1.017097373,0.289494412,0.053826979,0.004185586,1.72E-05,
